800.0, 800.0, 20.0, 1200.0, 800.0, 20.0
800.0, 800.0, 20.0, 800.0, 1200.0, 20.0
800.0, 1200.0, 20.0, 1200.0, 1200.0, 20.0
1200.0, 800.0, 20.0, 1200.0, 1200.0, 20.0
800.0, 800.0, 20.0, 800.0, 800.0, 420.0
1200.0, 800.0, 20.0, 1200.0, 800.0, 420.0
800.0, 1200.0, 20.0, 800.0, 1200.0, 420.0
1200.0, 1200.0, 20.0, 1200.0, 1200.0, 420.0
800.0, 800.0, 420.0, 1200.0, 800.0, 420.0
800.0, 800.0, 420.0, 800.0, 1200.0, 420.0
800.0, 1200.0, 420.0, 1200.0, 1200.0, 420.0
1200.0, 800.0, 420.0, 1200.0, 1200.0, 420.0
